file, fig, row, col, x, y, z, m_d, stokes
pslice15_ml.dat, 2, 0, 0, 1, 1, 0, 0.0, 0.01-100
pslice15_ml.dat, 2, 0, 1, 1, 0, 1, 0.0, 0.01-100
pslice15_ml.dat, 4, 0, 0, 1, 1, 0, 0.0, 0.01-0.1
pslice15_ml.dat, 4, 0, 1, 1, 1, 0, 0.0, 0.1-1
pslice15_ml.dat, 4, 1, 0, 1, 1, 0, 0.0, 1-10
pslice15_ml.dat, 4, 1, 1, 1, 1, 0, 0.0, 10-100
pslice15_dm1e-4_St001-100.dat, 6, 0, 0, 1, 1, 0, 0.0001, 0.01-100
pslice15_dm1e-3_St001-100.dat, 6, 0, 1, 1, 1, 0, 0.001, 0.01-100
pslice15_dm3e-3_St001-100.dat, 6, 1, 0, 1, 1, 0, 0.003, 0.01-100
pslice15_dm7e-3_St001-100.dat, 6, 1, 1, 1, 1, 0, 0.007, 0.01-100
pslice15_dm001_St001-100.dat, 6, 2, 0, 1, 1, 0, 0.01, 0.01-100
pslice15_dm0025_St001-100.dat, 6, 2, 1, 1, 1, 0, 0.025, 0.01-100
pslice15_dm1e-3_St05-5.dat, 7, 0, 0, 1, 1, 0, 0.001, 0.5-5
pslice15_dm3e-3_St05-5.dat, 7, 0, 1, 1, 1, 0, 0.003, 0.5-5
pslice0_dm7e-3_St05-5.dat, 7, 1, 0, 1, 1, 0, 0.007, 0.5-5
pslice0_dm1e-2_St05-5.dat, 7, 1, 1, 1, 1, 0, 0.01, 0.5-5
pslice15_dm1e-2_St001-01.dat, 8, 0, 0, 1, 1, 0, 0.01, 0.01-0.1
pslice0_dm1e-2_St005-05.dat, 8, 0, 1, 1, 1, 0, 0.01, 0.05-0.5
pslice0_dm1e-2_St05-5.dat, 8, 1, 0, 1, 1, 0, 0.01, 0.5-5
pslice15_dm1e-2_St1-10.dat, 8, 1, 1, 1, 1, 0, 0.01, 1-10
pslice15_dm1e-2_St5-50.dat, 8, 2, 0, 1, 1, 0, 0.01, 5-50
pslice15_dm1e-2_St10-100.dat, 8, 2, 1, 1, 1, 0, 0.01, 10-100
